ensembl_gene_id	humantfs_gene_name	ensembl_transcript_id	tf_family	n_dbd
ENSG00000007372	PAX6	ENST00000419022	Homeodomain; Paired box	2
ENSG00000007372	PAX6	ENST00000638629	Homeodomain; Paired box	1
ENSG00000007372	PAX6	ENST00000638914	Homeodomain; Paired box	2
ENSG00000007372	PAX6	ENST00000639409	Homeodomain; Paired box	2
ENSG00000007372	PAX6	ENST00000639916	Homeodomain; Paired box	2
ENSG00000007372	PAX6	ENST00000640287	Homeodomain; Paired box	2
ENSG00000007372	PAX6	ENST00000640610	Homeodomain; Paired box	2
ENSG00000007372	PAX6	ENST00000640872	Homeodomain; Paired box	1
ENSG00000007372	PAX6	ENST00000640975	Homeodomain; Paired box	2
ENSG00000007866	TEAD3	ENST00000338863	TEA	1
ENSG00000007866	TEAD3	ENST00000639578	TEA	1
ENSG00000007968	E2F2	ENST00000361729	E2F	1
ENSG00000008196	TFAP2B	ENST00000393655	AP-2	1
ENSG00000008197	TFAP2D	ENST00000008391	AP-2	1
ENSG00000008441	NFIX	ENST00000587260	SMAD	1
ENSG00000008441	NFIX	ENST00000587760	SMAD	1
ENSG00000008441	NFIX	ENST00000588228	SMAD	1
ENSG00000008441	NFIX	ENST00000590027	SMAD	1
ENSG00000009709	PAX7	ENST00000375375	Homeodomain; Paired box	2
ENSG00000009709	PAX7	ENST00000400661	Homeodomain; Paired box	2
ENSG00000009709	PAX7	ENST00000420770	Homeodomain; Paired box	2
ENSG00000009950	MLXIPL	ENST00000313375	bHLH	1
ENSG00000009950	MLXIPL	ENST00000354613	bHLH	1
ENSG00000009950	MLXIPL	ENST00000414749	bHLH	1
ENSG00000009950	MLXIPL	ENST00000429400	bHLH	1
ENSG00000009950	MLXIPL	ENST00000434326	bHLH	1
ENSG00000010030	ETV7	ENST00000339796	Ets	1
ENSG00000010030	ETV7	ENST00000340181	Ets	1
ENSG00000010030	ETV7	ENST00000373737	Ets	1
ENSG00000010030	ETV7	ENST00000373738	Ets	1
ENSG00000010030	ETV7	ENST00000538992	Ets	1
ENSG00000010030	ETV7	ENST00000615781	Ets	1
ENSG00000010030	ETV7	ENST00000620358	Ets	1
ENSG00000010030	ETV7	ENST00000627426	Ets	1
ENSG00000010244	ZNF207	ENST00000321233	C2H2 ZF	2
ENSG00000010244	ZNF207	ENST00000394670	C2H2 ZF	2
ENSG00000010244	ZNF207	ENST00000394673	C2H2 ZF	2
ENSG00000010539	ZNF200	ENST00000396868	C2H2 ZF	5
ENSG00000010539	ZNF200	ENST00000396870	C2H2 ZF	5
ENSG00000010539	ZNF200	ENST00000396871	C2H2 ZF	5
ENSG00000010539	ZNF200	ENST00000414144	C2H2 ZF	5
ENSG00000010539	ZNF200	ENST00000431561	C2H2 ZF	5
ENSG00000010539	ZNF200	ENST00000575948	C2H2 ZF	5
ENSG00000010539	ZNF200	ENST00000575617	C2H2 ZF	0
ENSG00000010818	HIVEP2	ENST00000367603	C2H2 ZF	4
ENSG00000011243	AKAP8L	ENST00000397410	C2H2 ZF	2
ENSG00000011243	AKAP8L	ENST00000595465	C2H2 ZF	2
ENSG00000011332	DPF1	ENST00000355526	C2H2 ZF	1
ENSG00000011332	DPF1	ENST00000412732	C2H2 ZF	1
ENSG00000011332	DPF1	ENST00000414789	C2H2 ZF	1
ENSG00000011332	DPF1	ENST00000614244	C2H2 ZF	1
ENSG00000011332	DPF1	ENST00000420980	C2H2 ZF	0
ENSG00000011451	WIZ	ENST00000263381	C2H2 ZF	5
ENSG00000011451	WIZ	ENST00000389282	C2H2 ZF	5
ENSG00000011451	WIZ	ENST00000545156	C2H2 ZF	6
ENSG00000011451	WIZ	ENST00000673675	C2H2 ZF	12
ENSG00000011590	ZBTB32	ENST00000262630	C2H2 ZF	3
ENSG00000011590	ZBTB32	ENST00000392197	C2H2 ZF	3
ENSG00000012504	NR1H4	ENST00000188403	Nuclear receptor	1
ENSG00000012504	NR1H4	ENST00000392986	Nuclear receptor	1
ENSG00000012504	NR1H4	ENST00000548884	Nuclear receptor	1
ENSG00000012504	NR1H4	ENST00000549996	Nuclear receptor	1
ENSG00000012504	NR1H4	ENST00000551379	Nuclear receptor	1
ENSG00000016082	ISL1	ENST00000230658	Homeodomain	1
ENSG00000018869	ZNF582	ENST00000301310	C2H2 ZF	9
ENSG00000018869	ZNF582	ENST00000586929	C2H2 ZF	9
ENSG00000018869	ZNF582	ENST00000619584	C2H2 ZF	9
ENSG00000018869	ZNF582	ENST00000589895	C2H2 ZF	0
ENSG00000019549	SNAI2	ENST00000020945	C2H2 ZF	5
ENSG00000020256	ZFP64	ENST00000216923	C2H2 ZF	11
ENSG00000020256	ZFP64	ENST00000346617	C2H2 ZF	10
ENSG00000020256	ZFP64	ENST00000361387	C2H2 ZF	15
ENSG00000020256	ZFP64	ENST00000371515	C2H2 ZF	11
ENSG00000020256	ZFP64	ENST00000371518	C2H2 ZF	9
ENSG00000020256	ZFP64	ENST00000371523	C2H2 ZF	10
ENSG00000020633	RUNX3	ENST00000308873	Runt	1
ENSG00000020633	RUNX3	ENST00000338888	Runt	1
ENSG00000020633	RUNX3	ENST00000399916	Runt	1
ENSG00000025156	HSF2	ENST00000368455	HSF	1
ENSG00000025156	HSF2	ENST00000452194	HSF	1
ENSG00000025156	HSF2	ENST00000465214	HSF	0
ENSG00000025293	PHF20	ENST00000339089	C2H2 ZF	1
ENSG00000025293	PHF20	ENST00000374000	C2H2 ZF	1
ENSG00000025293	PHF20	ENST00000374012	C2H2 ZF	1
ENSG00000025434	NR1H3	ENST00000395397	Nuclear receptor	1
ENSG00000025434	NR1H3	ENST00000405853	Nuclear receptor	1
ENSG00000025434	NR1H3	ENST00000441012	Nuclear receptor	1
ENSG00000025434	NR1H3	ENST00000467728	Nuclear receptor	1
ENSG00000025434	NR1H3	ENST00000527949	Nuclear receptor	1
ENSG00000025434	NR1H3	ENST00000616973	Nuclear receptor	1
ENSG00000028277	POU2F2	ENST00000389341	Homeodomain; POU	2
ENSG00000028277	POU2F2	ENST00000526816	Homeodomain; POU	2
ENSG00000028277	POU2F2	ENST00000529067	Homeodomain; POU	2
ENSG00000028277	POU2F2	ENST00000529952	Homeodomain; POU	2
ENSG00000028839	TBPL1	ENST00000237264	TBP	1
ENSG00000028839	TBPL1	ENST00000367871	TBP	1
ENSG00000028839	TBPL1	ENST00000613034	TBP	1
ENSG00000029153	ARNTL2	ENST00000261178	bHLH	1
ENSG00000029153	ARNTL2	ENST00000266503	bHLH	1
ENSG00000029153	ARNTL2	ENST00000311001	bHLH	1
ENSG00000029153	ARNTL2	ENST00000395901	bHLH	1
ENSG00000029153	ARNTL2	ENST00000457040	bHLH	1
ENSG00000029153	ARNTL2	ENST00000542388	bHLH	1
ENSG00000029153	ARNTL2	ENST00000546179	bHLH	1
ENSG00000030419	IKZF2	ENST00000342002	C2H2 ZF	6
ENSG00000030419	IKZF2	ENST00000374319	C2H2 ZF	5
ENSG00000036549	ZZZ3	ENST00000370798	Myb/SANT	1
ENSG00000036549	ZZZ3	ENST00000370801	Myb/SANT	1
ENSG00000037965	HOXC8	ENST00000040584	Homeodomain	1
ENSG00000039600	SOX30	ENST00000265007	HMG/Sox	1
ENSG00000039600	SOX30	ENST00000311371	HMG/Sox	1
ENSG00000039600	SOX30	ENST00000519442	HMG/Sox	1
ENSG00000041988	THAP3	ENST00000054650	THAP finger	1
ENSG00000041988	THAP3	ENST00000307896	THAP finger	1
ENSG00000041988	THAP3	ENST00000377627	THAP finger	1
ENSG00000041988	THAP3	ENST00000472925	THAP finger	1
ENSG00000043039	BARX2	ENST00000281437	Homeodomain	1
ENSG00000043355	ZIC2	ENST00000376335	C2H2 ZF	5
ENSG00000048405	ZNF800	ENST00000265827	C2H2 ZF	7
ENSG00000048405	ZNF800	ENST00000436992	C2H2 ZF	1
ENSG00000048405	ZNF800	ENST00000439506	C2H2 ZF	1
ENSG00000049768	FOXP3	ENST00000376197	C2H2 ZF; Forkhead	2
ENSG00000049768	FOXP3	ENST00000376199	C2H2 ZF; Forkhead	2
ENSG00000049768	FOXP3	ENST00000376207	C2H2 ZF; Forkhead	2
ENSG00000049768	FOXP3	ENST00000518685	C2H2 ZF; Forkhead	2
ENSG00000049768	FOXP3	ENST00000557224	C2H2 ZF; Forkhead	2
ENSG00000050344	NFE2L3	ENST00000056233	bZIP	1
ENSG00000052850	ALX4	ENST00000652299	Homeodomain	1
ENSG00000053254	FOXN3	ENST00000345097	Forkhead	1
ENSG00000053254	FOXN3	ENST00000555353	Forkhead	1
ENSG00000053254	FOXN3	ENST00000557258	Forkhead	1
ENSG00000053254	FOXN3	ENST00000615335	Forkhead	1
ENSG00000054598	FOXC1	ENST00000645831	Forkhead	1
ENSG00000056277	ZNF280C	ENST00000370978	C2H2 ZF	9
ENSG00000056277	ZNF280C	ENST00000447817	C2H2 ZF	6
ENSG00000057657	PRDM1	ENST00000369089	C2H2 ZF	5
ENSG00000057657	PRDM1	ENST00000369091	C2H2 ZF	5
ENSG00000057657	PRDM1	ENST00000369096	C2H2 ZF	5
ENSG00000059122	FLYWCH1	ENST00000253928	FLYWCH	5
ENSG00000059122	FLYWCH1	ENST00000344592	FLYWCH	4
ENSG00000059122	FLYWCH1	ENST00000416288	FLYWCH	5
ENSG00000059122	FLYWCH1	ENST00000573564	FLYWCH	4
ENSG00000059728	MXD1	ENST00000264444	bHLH	1
ENSG00000059728	MXD1	ENST00000540449	bHLH	1
ENSG00000060138	YBX3	ENST00000228251	CSD	1
ENSG00000060138	YBX3	ENST00000279550	CSD	1
ENSG00000060566	CREB3L3	ENST00000078445	bZIP	1
ENSG00000060566	CREB3L3	ENST00000595923	bZIP	1
ENSG00000060566	CREB3L3	ENST00000602257	bZIP	1
ENSG00000060566	CREB3L3	ENST00000602147	bZIP	0
ENSG00000061455	PRDM6	ENST00000407847	C2H2 ZF	4
ENSG00000062370	ZNF112	ENST00000337401	C2H2 ZF	13
ENSG00000062370	ZNF112	ENST00000354340	C2H2 ZF	13
ENSG00000062370	ZNF112	ENST00000588057	C2H2 ZF	0
ENSG00000063438	AHRR	ENST00000506456	bHLH	0
ENSG00000063587	ZNF275	ENST00000370249	C2H2 ZF	11
ENSG00000063587	ZNF275	ENST00000370251	C2H2 ZF	7
ENSG00000064195	DLX3	ENST00000434704	Homeodomain	1
ENSG00000064195	DLX3	ENST00000512495	Homeodomain	1
ENSG00000064218	DMRT3	ENST00000190165	DM	1
ENSG00000064218	DMRT3	ENST00000417254	DM	0
ENSG00000064835	POU1F1	ENST00000350375	Homeodomain; POU	2
ENSG00000064961	HMG20B	ENST00000333651	HMG/Sox	1
ENSG00000064961	HMG20B	ENST00000453933	HMG/Sox	1
ENSG00000065029	ZNF76	ENST00000339411	C2H2 ZF	7
ENSG00000065029	ZNF76	ENST00000373953	C2H2 ZF	7
ENSG00000065029	ZNF76	ENST00000498555	C2H2 ZF	0
ENSG00000065970	FOXJ2	ENST00000162391	Forkhead	1
ENSG00000065970	FOXJ2	ENST00000428177	Forkhead	1
ENSG00000065978	YBX1	ENST00000321358	CSD	1
ENSG00000065978	YBX1	ENST00000436427	CSD	1
ENSG00000066336	SPI1	ENST00000227163	Ets	1
ENSG00000066336	SPI1	ENST00000378538	Ets	1
ENSG00000066336	SPI1	ENST00000533030	Ets	0
ENSG00000066336	SPI1	ENST00000533968	Ets	0
ENSG00000066422	ZBTB11	ENST00000312938	C2H2 ZF	12
ENSG00000066422	ZBTB11	ENST00000461821	C2H2 ZF	0
ENSG00000066697	MSANTD3	ENST00000374885	Myb/SANT	1
ENSG00000066697	MSANTD3	ENST00000395067	Myb/SANT	1
ENSG00000066697	MSANTD3	ENST00000613183	Myb/SANT	1
ENSG00000066827	ZFAT	ENST00000377838	C2H2 ZF	19
ENSG00000066827	ZFAT	ENST00000429442	C2H2 ZF	19
ENSG00000066827	ZFAT	ENST00000520214	C2H2 ZF	19
ENSG00000066827	ZFAT	ENST00000520356	C2H2 ZF	19
ENSG00000066827	ZFAT	ENST00000520727	C2H2 ZF	19
ENSG00000066827	ZFAT	ENST00000523399	C2H2 ZF	19
ENSG00000066827	ZFAT	ENST00000521673	C2H2 ZF	0
ENSG00000067066	SP100	ENST00000264052	HMG/Sox; SAND	3
ENSG00000067066	SP100	ENST00000340126	HMG/Sox; SAND	1
ENSG00000067066	SP100	ENST00000409112	HMG/Sox; SAND	1
ENSG00000067066	SP100	ENST00000431952	HMG/Sox; SAND	1
ENSG00000067066	SP100	ENST00000409341	HMG/Sox; SAND	0
ENSG00000067066	SP100	ENST00000409897	HMG/Sox; SAND	0
ENSG00000067066	SP100	ENST00000427101	HMG/Sox; SAND	0
ENSG00000067066	SP100	ENST00000452345	HMG/Sox; SAND	0
ENSG00000067082	KLF6	ENST00000469435	C2H2 ZF	1
ENSG00000067082	KLF6	ENST00000497571	C2H2 ZF	3
ENSG00000067646	ZFY	ENST00000155093	C2H2 ZF	13
ENSG00000067646	ZFY	ENST00000449237	C2H2 ZF	13
ENSG00000067646	ZFY	ENST00000625061	C2H2 ZF	13
ENSG00000068305	MEF2A	ENST00000338042	MADS box	1
ENSG00000068305	MEF2A	ENST00000354410	MADS box	1
ENSG00000068305	MEF2A	ENST00000558812	MADS box	0
ENSG00000068323	TFE3	ENST00000315869	bHLH	1
ENSG00000069011	PITX1	ENST00000265340	Homeodomain	1
ENSG00000069011	PITX1	ENST00000506438	Homeodomain	1
ENSG00000069667	RORA	ENST00000261523	Nuclear receptor	1
ENSG00000069667	RORA	ENST00000309157	Nuclear receptor	1
ENSG00000069667	RORA	ENST00000335670	Nuclear receptor	1
ENSG00000069667	RORA	ENST00000449337	Nuclear receptor	1
ENSG00000069667	RORA	ENST00000558904	Nuclear receptor	0
ENSG00000069812	HES2	ENST00000377834	bHLH	1
ENSG00000069812	HES2	ENST00000377836	bHLH	1
ENSG00000069812	HES2	ENST00000377837	bHLH	1
ENSG00000069812	HES2	ENST00000489730	bHLH	1
ENSG00000070444	MNT	ENST00000174618	bHLH	1
ENSG00000070476	ZXDC	ENST00000336332	C2H2 ZF	10
ENSG00000070476	ZXDC	ENST00000389709	C2H2 ZF	10
ENSG00000071564	TCF3	ENST00000262965	bHLH	1
ENSG00000071564	TCF3	ENST00000585731	bHLH	1
ENSG00000071564	TCF3	ENST00000587425	bHLH	1
ENSG00000071564	TCF3	ENST00000588136	bHLH	1
ENSG00000071564	TCF3	ENST00000593064	bHLH	1
ENSG00000071564	TCF3	ENST00000611869	bHLH	1
ENSG00000071655	MBD3	ENST00000156825	MBD	1
ENSG00000071655	MBD3	ENST00000434436	MBD	1
ENSG00000071655	MBD3	ENST00000590550	MBD	0
ENSG00000072310	SREBF1	ENST00000261646	bHLH	1
ENSG00000072310	SREBF1	ENST00000355815	bHLH	1
ENSG00000072310	SREBF1	ENST00000395757	bHLH	1
ENSG00000072736	NFATC3	ENST00000329524	Rel	1
ENSG00000072736	NFATC3	ENST00000346183	Rel	1
ENSG00000072736	NFATC3	ENST00000349223	Rel	1
ENSG00000072736	NFATC3	ENST00000562926	Rel	1
ENSG00000072736	NFATC3	ENST00000570212	Rel	1
ENSG00000073282	TP63	ENST00000264731	p53	1
ENSG00000073282	TP63	ENST00000320472	p53	1
ENSG00000073282	TP63	ENST00000354600	p53	1
ENSG00000073282	TP63	ENST00000392460	p53	1
ENSG00000073282	TP63	ENST00000392461	p53	1
ENSG00000073282	TP63	ENST00000392463	p53	1
ENSG00000073282	TP63	ENST00000418709	p53	1
ENSG00000073282	TP63	ENST00000437221	p53	1
ENSG00000073282	TP63	ENST00000440651	p53	1
ENSG00000073282	TP63	ENST00000449992	p53	1
ENSG00000073861	TBX21	ENST00000177694	T-box	1
ENSG00000074047	GLI2	ENST00000361492	C2H2 ZF	5
ENSG00000074047	GLI2	ENST00000418323	C2H2 ZF	0
ENSG00000074047	GLI2	ENST00000360874	C2H2 ZF	0
ENSG00000074219	TEAD2	ENST00000311227	TEA	1
ENSG00000074219	TEAD2	ENST00000377214	TEA	1
ENSG00000074219	TEAD2	ENST00000593945	TEA	1
ENSG00000074219	TEAD2	ENST00000598810	TEA	1
ENSG00000074219	TEAD2	ENST00000601519	TEA	1
ENSG00000074219	TEAD2	ENST00000539846	TEA	0
ENSG00000074657	ZNF532	ENST00000336078	C2H2 ZF	15
ENSG00000074657	ZNF532	ENST00000586997	C2H2 ZF	3
ENSG00000074657	ZNF532	ENST00000591083	C2H2 ZF	15
ENSG00000074657	ZNF532	ENST00000591230	C2H2 ZF	15
ENSG00000074657	ZNF532	ENST00000591808	C2H2 ZF	15
ENSG00000074657	ZNF532	ENST00000592452	C2H2 ZF	0
ENSG00000075407	ZNF37A	ENST00000351773	C2H2 ZF	10
ENSG00000075407	ZNF37A	ENST00000361085	C2H2 ZF	10
ENSG00000075426	FOSL2	ENST00000264716	bZIP	1
ENSG00000075426	FOSL2	ENST00000379619	bZIP	1
ENSG00000075426	FOSL2	ENST00000436647	bZIP	1
ENSG00000075891	PAX2	ENST00000355243	Paired box	1
ENSG00000075891	PAX2	ENST00000361791	Paired box	1
ENSG00000075891	PAX2	ENST00000370296	Paired box	1
ENSG00000075891	PAX2	ENST00000554172	Paired box	1
ENSG00000076108	BAZ2A	ENST00000379441	AT hook; MBD	5
ENSG00000076108	BAZ2A	ENST00000549787	AT hook; MBD	0
ENSG00000076108	BAZ2A	ENST00000549884	AT hook; MBD	5
ENSG00000076108	BAZ2A	ENST00000551812	AT hook; MBD	5
ENSG00000076108	BAZ2A	ENST00000549506	AT hook; MBD	0
ENSG00000077092	RARB	ENST00000330688	Nuclear receptor	1
ENSG00000077092	RARB	ENST00000437042	Nuclear receptor	1
ENSG00000077092	RARB	ENST00000458646	Nuclear receptor	1
ENSG00000077150	NFKB2	ENST00000189444	Rel	1
ENSG00000077150	NFKB2	ENST00000369966	Rel	1
ENSG00000077150	NFKB2	ENST00000428099	Rel	1
ENSG00000077150	NFKB2	ENST00000661543	Rel	1
ENSG00000078399	HOXA9	ENST00000343483	Homeodomain	1
ENSG00000078399	HOXA9	ENST00000396345	Homeodomain	0
ENSG00000078900	TP73	ENST00000378280	p53	1
ENSG00000078900	TP73	ENST00000378285	p53	1
ENSG00000078900	TP73	ENST00000378288	p53	1
ENSG00000078900	TP73	ENST00000378290	p53	1
ENSG00000078900	TP73	ENST00000378295	p53	1
ENSG00000079263	SP140	ENST00000343805	SAND	1
ENSG00000079263	SP140	ENST00000392045	SAND	1
ENSG00000079263	SP140	ENST00000417495	SAND	1
ENSG00000079263	SP140	ENST00000420434	SAND	1
ENSG00000079263	SP140	ENST00000373645	SAND	0
ENSG00000079432	CIC	ENST00000575354	HMG/Sox	1
ENSG00000079432	CIC	ENST00000573349	HMG/Sox	0
ENSG00000080298	RFX3	ENST00000302303	RFX	1
ENSG00000080298	RFX3	ENST00000358730	RFX	1
ENSG00000080298	RFX3	ENST00000382004	RFX	1
ENSG00000080298	RFX3	ENST00000617270	RFX	1
ENSG00000080603	SRCAP	ENST00000262518	AT hook	3
ENSG00000080603	SRCAP	ENST00000395059	AT hook	3
ENSG00000080603	SRCAP	ENST00000483083	AT hook	0
ENSG00000081059	TCF7	ENST00000342854	HMG/Sox	1
ENSG00000081059	TCF7	ENST00000378560	HMG/Sox	1
ENSG00000081059	TCF7	ENST00000395023	HMG/Sox	1
ENSG00000081059	TCF7	ENST00000518915	HMG/Sox	1
ENSG00000081059	TCF7	ENST00000520699	HMG/Sox	1
ENSG00000081059	TCF7	ENST00000520958	HMG/Sox	1
ENSG00000081059	TCF7	ENST00000518887	HMG/Sox	0
ENSG00000081189	MEF2C	ENST00000340208	MADS box	1
ENSG00000081189	MEF2C	ENST00000424173	MADS box	1
ENSG00000081189	MEF2C	ENST00000437473	MADS box	1
ENSG00000081189	MEF2C	ENST00000504921	MADS box	1
ENSG00000081189	MEF2C	ENST00000626391	MADS box	1
ENSG00000081189	MEF2C	ENST00000628656	MADS box	1
ENSG00000081386	ZNF510	ENST00000223428	C2H2 ZF	10
ENSG00000081386	ZNF510	ENST00000375231	C2H2 ZF	10
ENSG00000081386	ZNF510	ENST00000374641	C2H2 ZF	0
ENSG00000081665	ZNF506	ENST00000443905	C2H2 ZF	8
ENSG00000081665	ZNF506	ENST00000540806	C2H2 ZF	8
ENSG00000081665	ZNF506	ENST00000545006	C2H2 ZF	0
ENSG00000082175	PGR	ENST00000263463	Nuclear receptor	1
ENSG00000082175	PGR	ENST00000325455	Nuclear receptor	1
ENSG00000082175	PGR	ENST00000534013	Nuclear receptor	1
ENSG00000082641	NFE2L1	ENST00000357480	bZIP	1
ENSG00000082641	NFE2L1	ENST00000362042	bZIP	1
ENSG00000082641	NFE2L1	ENST00000536222	bZIP	1
ENSG00000082641	NFE2L1	ENST00000582155	bZIP	1
ENSG00000082641	NFE2L1	ENST00000585291	bZIP	1
ENSG00000083307	GRHL2	ENST00000395927	Grainyhead	1
ENSG00000083307	GRHL2	ENST00000646743	Grainyhead	1
ENSG00000083812	ZNF324	ENST00000196482	C2H2 ZF	9
ENSG00000083812	ZNF324	ENST00000536459	C2H2 ZF	9
ENSG00000083812	ZNF324	ENST00000593925	C2H2 ZF	9
ENSG00000083814	ZNF671	ENST00000317398	C2H2 ZF	9
ENSG00000083814	ZNF671	ENST00000596939	C2H2 ZF	0
ENSG00000083817	ZNF416	ENST00000196489	C2H2 ZF	11
ENSG00000083828	ZNF586	ENST00000391702	C2H2 ZF	10
ENSG00000083828	ZNF586	ENST00000396154	C2H2 ZF	10
ENSG00000083828	ZNF586	ENST00000396150	C2H2 ZF	0
ENSG00000083838	ZNF446	ENST00000594369	C2H2 ZF	3
ENSG00000083838	ZNF446	ENST00000610298	C2H2 ZF	2
ENSG00000083838	ZNF446	ENST00000622313	C2H2 ZF	3
ENSG00000083844	ZNF264	ENST00000263095	C2H2 ZF	13
ENSG00000083844	ZNF264	ENST00000536056	C2H2 ZF	13
ENSG00000083844	ZNF264	ENST00000599653	C2H2 ZF	0
ENSG00000083844	ZNF264	ENST00000600531	C2H2 ZF	0
ENSG00000084093	REST	ENST00000309042	C2H2 ZF	9
ENSG00000084093	REST	ENST00000611211	C2H2 ZF	5
ENSG00000084093	REST	ENST00000619101	C2H2 ZF	9
ENSG00000084093	REST	ENST00000622863	C2H2 ZF	4
ENSG00000084093	REST	ENST00000640168	C2H2 ZF	4
ENSG00000084093	REST	ENST00000640343	C2H2 ZF	5
ENSG00000084676	NCOA1	ENST00000288599	bHLH	1
ENSG00000084676	NCOA1	ENST00000348332	bHLH	1
ENSG00000084676	NCOA1	ENST00000395856	bHLH	1
ENSG00000084676	NCOA1	ENST00000407230	bHLH	0
ENSG00000085274	MYNN	ENST00000349841	C2H2 ZF	8
ENSG00000085274	MYNN	ENST00000356716	C2H2 ZF	8
ENSG00000085274	MYNN	ENST00000544106	C2H2 ZF	7
ENSG00000085276	MECOM	ENST00000264674	C2H2 ZF	10
ENSG00000085276	MECOM	ENST00000433243	C2H2 ZF	10
ENSG00000085276	MECOM	ENST00000460814	C2H2 ZF	10
ENSG00000085276	MECOM	ENST00000460890	C2H2 ZF	2
ENSG00000085276	MECOM	ENST00000464456	C2H2 ZF	10
ENSG00000085276	MECOM	ENST00000468789	C2H2 ZF	10
ENSG00000085276	MECOM	ENST00000487503	C2H2 ZF	2
ENSG00000085276	MECOM	ENST00000494597	C2H2 ZF	2
ENSG00000085276	MECOM	ENST00000628990	C2H2 ZF	10
ENSG00000085276	MECOM	ENST00000651503	C2H2 ZF	10
ENSG00000085276	MECOM	ENST00000466623	C2H2 ZF	0
ENSG00000085644	ZNF213	ENST00000396878	C2H2 ZF	5
ENSG00000085644	ZNF213	ENST00000574575	C2H2 ZF	5
ENSG00000085644	ZNF213	ENST00000576416	C2H2 ZF	5
ENSG00000085644	ZNF213	ENST00000572647	C2H2 ZF	0
ENSG00000086102	NFX1	ENST00000318524	NFX	6
ENSG00000086102	NFX1	ENST00000379540	NFX	8
ENSG00000087510	TFAP2C	ENST00000201031	AP-2	1
ENSG00000087903	RFX2	ENST00000303657	RFX	1
ENSG00000087903	RFX2	ENST00000359161	RFX	1
ENSG00000087903	RFX2	ENST00000592546	RFX	1
ENSG00000088876	ZNF343	ENST00000278772	C2H2 ZF	12
ENSG00000088876	ZNF343	ENST00000381253	C2H2 ZF	0
ENSG00000088876	ZNF343	ENST00000445484	C2H2 ZF	0
ENSG00000089094	KDM2B	ENST00000377069	CxxC ZF	1
ENSG00000089094	KDM2B	ENST00000377071	CxxC ZF	1
ENSG00000089094	KDM2B	ENST00000536437	CxxC ZF	1
ENSG00000089094	KDM2B	ENST00000542973	CxxC ZF	0
ENSG00000089094	KDM2B	ENST00000538046	CxxC ZF	0
ENSG00000089116	LHX5	ENST00000261731	Homeodomain	1
ENSG00000089225	TBX5	ENST00000310346	T-box	1
ENSG00000089225	TBX5	ENST00000349716	T-box	1
ENSG00000089225	TBX5	ENST00000405440	T-box	1
ENSG00000089225	TBX5	ENST00000526441	T-box	1
ENSG00000089335	ZNF302	ENST00000423823	C2H2 ZF	7
ENSG00000089335	ZNF302	ENST00000446502	C2H2 ZF	7
ENSG00000089335	ZNF302	ENST00000457781	C2H2 ZF	7
